Season,Date,Tournament,HomeTeam,AwayTeam,Venue,Result,Details,ScorecardURL,VenueMapURL,HomeEmblem,AwayEmblem,YouTubeLive,YouTubeHighlights
2024,02 Aug 2024,Triple Crown,Wales Over 40s,England Over 40s,Newport CC,Win,England won by 10 wickets,https://englandseniors.play-cricket.com/website/results/6632499,,england.png,wales.png,https://www.youtube.com/watch?v=__XgTBjZ5eA,https://www.youtube.com/watch?v=Uzr-Qbjag2U
2024,01 Aug 2024,Triple Crown,Ireland Over 40s,England Over 40s,Newport CC,Loss,Ireland won by 41 runs,https://englandseniors.play-cricket.com/website/results/6632498,,england.png,ireland.png,https://www.youtube.com/watch?v=KXaEUEuf4D4,https://www.youtube.com/watch?v=_G6XGmYHg9c
2024,31 Jul 2024,Triple Crown,Scottish Seniors XL Club,England Over 40s,Newport CC,Win,England won by 10 wickets,https://englandseniors.play-cricket.com/website/results/6632496,,england.png,scotland.png,https://www.youtube.com/watch?v=4W3lSary0GI,https://www.youtube.com/watch?v=8jeejARtag4
2024,11 Jul 2024,ODI,England Over 40s,Wales Over 40s,Arundel Castle CC,Win,England won by 108 runs,https://englandseniors.play-cricket.com/website/results/6546862,,england.png,wales.png,https://www.youtube.com/watch?v=p2HNjB2uSMo,https://www.youtube.com/watch?v=cDS-zwSzlRc
2024,25 Jun 2024,T20i (Game 2),Wales Over 40s,England Over 40s,Hammerwich CC,Loss,Wales won by 5 wickets,https://englandseniors.play-cricket.com/website/results/6580412,,england.png,wales.png,https://www.youtube.com/watch?v=X7LlfagkVEU,
2024,25 Jun 2024,T20i (Game 1),Wales Over 40s,England Over 40s,Hammerwich CC,Win,England won by 121 runs,https://englandseniors.play-cricket.com/website/results/6580410,,england.png,wales.png,https://www.youtube.com/watch?v=1mvtC6QudKA,
2024,04 Jun 2024,Non-ODI,XL Club East Midlands,England "A" Over 40s,Tickhill CC,Win,England A won by 111 runs,https://englandseniors.play-cricket.com/website/results/6600203,,xl_club.png,england.png,,
2024,29 Feb 2024,World Cup 3/4,England Over 40s,Australia Over 40s,"Claremont CC, Cape Town",Loss,Australia won by 5 wickets,https://englandseniors.play-cricket.com/website/results/6088911,,england.png,australia.png,,https://www.youtube.com/watch?v=j_Z5u3gxY6Y
2024,27 Feb 2024,World Cup SF,England Over 40s,South Africa Over 40s,"Green Point CC, Cape Town",Loss,South Africa won by 17 runs,https://englandseniors.play-cricket.com/website/results/6088910,,england.png,southafrica.png,https://www.youtube.com/watch?v=bzFELJu3l2c,https://www.youtube.com/watch?v=aPFZCtZ-tAg
2024,25 Feb 2024,World Cup,Canada Over 40s,England Over 40s,"Green Point CC, Cape Town",Win,England won by 9 wickets,https://englandseniors.play-cricket.com/website/results/6088909,,canada.png,england.png,,
2024,23 Feb 2024,World Cup,Australia Over 40s,England Over 40s,"Rondebosch CC, Cape Town",Win,England won by 2 runs,https://englandseniors.play-cricket.com/website/results/6088908,,australia.png,england.png,,https://www.youtube.com/watch?v=j_Z5u3gxY6Y
2024,22 Feb 2024,World Cup,England Over 40s,Namibia Over 40s,"Milnerton HS, Cape Town",Win,England won by 8 wickets,https://englandseniors.play-cricket.com/website/results/6088906,,england.png,namibia.png,,
2024,20 Feb 2024,World Cup,England Over 40s,USA Over 40s,"Reddam House School, Cape Town",Win,England won by 97 runs,https://englandseniors.play-cricket.com/website/results/6088905,,england.png,usa.png,https://www.youtube.com/watch?v=axVn57lETpA,
2024,19 Feb 2024,World Cup,England Over 40s,Zimbabwe Over 40s,"WPCC, Cape Town",Win,England won by 5 wickets,https://englandseniors.play-cricket.com/website/results/6088903,,england.png,zimbabwe.png,,https://www.youtube.com/watch?v=Dbt60ylXrGY
2023,08 Aug 2023,Non-ODI,England Over 40s,MCC,Darlington CC,Loss,MCC won by 10 wickets,https://englandseniors.play-cricket.com/website/results/6043069,,england.png,mcc.png,https://www.youtube.com/watch?v=tS8YzaeRy-s,https://www.youtube.com/watch?v=OYj-eX3XG7E
2023,14 Jun 2023,ODI,Wales Over 40s,England Over 40s,Panteg CC,Win,England won by 7 wickets,https://englandseniors.play-cricket.com/website/results/5984731,,wales.png,england.png,https://www.youtube.com/watch?v=uh6k16BNiQY,https://www.youtube.com/watch?v=emSmikB3QtM
2023,31 May 2023,Non-ODI,England Over 40s,Ireland Over 40s,Uxbridge CC,Loss,Ireland won by 53 runs,https://englandseniors.play-cricket.com/website/results/5965294,,england.png,ireland.png,,
2023,23 May 2023,ODI,England Over 40s,Wales Over 40s,Broxbourne CC,Win,England won by 92 runs,https://englandseniors.play-cricket.com/website/results/5901523,,england.png,wales.png,,
